,start,end,artist,stage
11,2022-04-08 00:00:00,2022-04-08 02:00:00,30 Something,Loco Royale
0,2022-04-08 15:00:00,2022-04-08 16:00:00,Made In Purple,Thnderbolt
1,2022-04-08 17:30:00,2022-04-08 18:30:00,Catfish,Thnderbolt
2,2022-04-08 20:00:00,2022-04-08 21:00:00,Pendej0,Thnderbolt
3,2022-04-08 22:30:00,2022-04-08 23:30:00,The Hillbilly Moonshiners,Thnderbolt
4,2022-04-08 01:00:00,2022-04-08 02:00:00,Iron Laiden,Thnderbolt
0,2022-04-08 14:30:00,2022-04-08 16:00:00,Romy Janssen,The Garage
1,2022-04-08 16:00:00,2022-04-08 18:00:00,D Stone,The Garage
2,2022-04-08 18:00:00,2022-04-08 20:00:00,Jasper Fioole,The Garage
3,2022-04-08 20:00:00,2022-04-08 22:00:00,Joey Daniel,The Garage
4,2022-04-08 22:00:00,2022-04-09 00:00:00,Benny Rodrigues,The Garage
5,2022-04-08 00:00:00,2022-04-08 02:00:00,Franky Rizardo,The Garage
0,2022-04-08 15:00:00,2022-04-08 15:30:00,Ben Kok,Dolle Mina
1,2022-04-08 16:00:00,2022-04-08 16:30:00,Esther van Heeswijk,Dolle Mina
2,2022-04-08 18:00:00,2022-04-08 18:30:00,Danilo,Dolle Mina
3,2022-04-08 19:45:00,2022-04-08 20:15:00,Senna,Dolle Mina
4,2022-04-08 21:30:00,2022-04-08 22:00:00,John West,Dolle Mina
5,2022-04-08 23:15:00,2022-04-08 23:45:00,Yves Berendse,Dolle Mina
6,2022-04-08 01:00:00,2022-04-08 01:30:00,Alex,Dolle Mina
0,2022-04-08 14:00:00,2022-04-08 14:30:00,Quiz,The Social Club
1,2022-04-08 14:45:00,2022-04-08 15:30:00,Marlon Pichel,The Social Club
2,2022-04-08 16:30:00,2022-04-08 17:30:00,Jack and the Weatherman,The Social Club
3,2022-04-08 18:30:00,2022-04-08 19:30:00,De Suskes,The Social Club
4,2022-04-08 20:30:00,2022-04-08 21:30:00,Bare Jams,The Social Club
5,2022-04-08 22:30:00,2022-04-08 23:30:00,Ooostblok,The Social Club
6,2022-04-08 00:30:00,2022-04-08 02:00:00,Among the Saints,The Social Club
0,2022-04-08 14:30:00,2022-04-08 16:00:00,Petri,SMÈRRIG
1,2022-04-08 16:00:00,2022-04-08 17:00:00,Gijs Padding,SMÈRRIG
2,2022-04-08 17:00:00,2022-04-08 18:00:00,Brocco,SMÈRRIG
3,2022-04-08 18:00:00,2022-04-08 19:00:00,Donny Summer,SMÈRRIG
4,2022-04-08 19:00:00,2022-04-08 20:00:00,Bartje Bricks,SMÈRRIG
5,2022-04-08 20:00:00,2022-04-08 21:00:00,Stefano van Stefano's,SMÈRRIG
6,2022-04-08 21:00:00,2022-04-08 22:00:00,Tomcio,SMÈRRIG
7,2022-04-08 22:00:00,2022-04-08 23:00:00,MooikaapMaikel,SMÈRRIG
8,2022-04-08 23:00:00,2022-04-08 23:45:00,SMÈRRIG Diskjochies,SMÈRRIG
9,2022-04-08 23:45:00,2022-04-09 00:00:00,Yung Petsi,SMÈRRIG
10,2022-04-08 00:00:00,2022-04-08 01:00:00,Joe en Ak,SMÈRRIG
11,2022-04-08 01:00:00,2022-04-08 02:00:00,Raywell,SMÈRRIG
0,2022-04-08 13:30:00,2022-04-08 15:00:00,Daan Driessen,Disco Snolly
1,2022-04-08 15:00:00,2022-04-08 16:30:00,Jip Discotrip,Disco Snolly
2,2022-04-08 16:30:00,2022-04-08 18:00:00,Tunebased,Disco Snolly
3,2022-04-08 18:00:00,2022-04-08 19:00:00,Robbie Lion,Disco Snolly
4,2022-04-08 19:00:00,2022-04-08 20:30:00,Ronna Summer,Disco Snolly
5,2022-04-08 20:30:00,2022-04-08 22:00:00,Keezus Christus,Disco Snolly
6,2022-04-08 22:00:00,2022-04-08 23:00:00,Disco Snolly,Disco Snolly
7,2022-04-08 23:00:00,2022-04-09 00:30:00,Tommy Summer,Disco Snolly
8,2022-04-08 00:30:00,2022-04-08 02:00:00,Diskopogo,Disco Snolly
0,2022-04-08 13:30:00,2022-04-08 15:00:00,Faby Forster,Casa Bacardi
1,2022-04-08 15:00:00,2022-04-08 16:30:00,Karyo,Casa Bacardi
2,2022-04-08 16:30:00,2022-04-08 18:00:00,Fasta,Casa Bacardi
3,2022-04-08 18:00:00,2022-04-08 19:30:00,Carliitoo Wakanda,Casa Bacardi
4,2022-04-08 19:30:00,2022-04-08 21:00:00,Elin Valery,Casa Bacardi
5,2022-04-08 21:00:00,2022-04-08 22:30:00,Morry,Casa Bacardi
6,2022-04-08 22:30:00,2022-04-09 00:15:00,Jorda,Casa Bacardi
7,2022-04-08 00:15:00,2022-04-08 02:00:00,Karyo,Casa Bacardi
0,2022-04-08 15:15:00,2022-04-08 16:00:00,Van Binsbergen Trio,The Little Theatre
1,2022-04-08 16:00:00,2022-04-08 16:30:00,Roel C. Verburg,The Little Theatre
2,2022-04-08 16:30:00,2022-04-08 17:00:00,Max van den Burg,The Little Theatre
3,2022-04-08 17:00:00,2022-04-08 17:45:00,Van Binsbergen Trio,The Little Theatre
4,2022-04-08 17:45:00,2022-04-08 18:15:00,Roel C. Verburg,The Little Theatre
5,2022-04-08 18:15:00,2022-04-08 18:45:00,Max van den Burg,The Little Theatre
6,2022-04-08 18:45:00,2022-04-08 19:30:00,Van Binsbergen Trio,The Little Theatre
7,2022-04-08 19:30:00,2022-04-08 20:00:00,Roel C. Verburg,The Little Theatre
8,2022-04-08 20:00:00,2022-04-08 20:30:00,Max van den Burg,The Little Theatre
9,2022-04-08 20:35:00,2022-04-08 21:15:00,Van Binsbergen Trio,The Little Theatre
10,2022-04-08 21:45:00,2022-04-09 00:00:00,Show,The Little Theatre
11,2022-04-08 00:00:00,2022-04-08 02:00:00,Vincenergy,The Little Theatre
