,start,end,artist,stage
2,2022-04-09 15:00:00,2022-04-09 15:15:00,Thijs Kemperink,Area 7
3,2022-04-09 15:30:00,2022-04-09 15:45:00,Martijn Kardol,Area 7
4,2022-04-09 16:30:00,2022-04-09 17:30:00,Kirsten van Teijn,Area 7
5,2022-04-09 18:00:00,2022-04-09 19:00:00,Tis hier geen hotel 2,Area 7
6,2022-04-09 19:45:00,2022-04-09 21:00:00,A-Fever,Area 7
7,2022-04-09 21:30:00,2022-04-09 23:00:00,Daredevils,Area 7
8,2022-04-09 23:30:00,2022-04-10 01:00:00,Hermes House Band,Area 7
0,2022-04-09 13:00:00,2022-04-09 13:30:00,Show,Loco Royale
1,2022-04-09 13:30:00,2022-04-09 14:45:00,Show,Loco Royale
2,2022-04-09 14:45:00,2022-04-09 15:15:00,Show,Loco Royale
3,2022-04-09 15:15:00,2022-04-09 16:00:00,Ode aan Vader Abraham,Loco Royale
4,2022-04-09 16:00:00,2022-04-09 16:45:00,Flipperdisco,Loco Royale
5,2022-04-09 16:45:00,2022-04-09 18:15:00,Danny Panadero,Loco Royale
6,2022-04-09 18:15:00,2022-04-09 19:00:00,Magic Tom & Yuri,Loco Royale
7,2022-04-09 19:00:00,2022-04-09 19:30:00,Flipperdisco,Loco Royale
8,2022-04-09 19:30:00,2022-04-09 20:15:00,De Krakers,Loco Royale
9,2022-04-09 20:15:00,2022-04-09 22:00:00,Henk Wijngaard,Loco Royale
10,2022-04-09 22:00:00,2022-04-09 23:00:00,The 90's are Back DJ Team,Loco Royale
11,2022-04-09 23:00:00,2022-04-09 23:30:00,Diva's of Dance,Loco Royale
12,2022-04-09 23:30:00,2022-04-10 00:00:00,The 90's are Back DJ Team,Loco Royale
13,2022-04-09 00:00:00,2022-04-09 01:00:00,Gladde Paling,Loco Royale
0,2022-04-09 14:00:00,2022-04-09 15:00:00,Mike and the Moonpies,Thunderblt
1,2022-04-09 16:30:00,2022-04-09 17:30:00,Vandoliers,Thunderblt
2,2022-04-09 19:00:00,2022-04-09 20:00:00,The Picturebooks,Thunderblt
3,2022-04-09 21:30:00,2022-04-09 22:30:00,Aenima,Thunderblt
4,2022-04-09 00:00:00,2022-04-09 01:00:00,Meteora,Thunderblt
0,2022-04-09 14:30:00,2022-04-09 16:00:00,Molly,The Garage
1,2022-04-09 16:00:00,2022-04-09 17:00:00,Golddiggers,The Garage
2,2022-04-09 17:00:00,2022-04-09 18:00:00,Benny Cool,The Garage
3,2022-04-09 18:00:00,2022-04-09 19:00:00,Djordin Sinay,The Garage
4,2022-04-09 19:00:00,2022-04-09 20:30:00,Sebastián K,The Garage
5,2022-04-09 20:30:00,2022-04-09 21:30:00,Bontgenoot,The Garage
6,2022-04-09 21:30:00,2022-04-09 22:30:00,Lockar,The Garage
7,2022-04-09 22:30:00,2022-04-09 23:30:00,Jack Delhi,The Garage
8,2022-04-09 23:45:00,2022-04-10 01:00:00,Lambue,The Garage
0,2022-04-09 15:00:00,2022-04-09 15:30:00,Peter Hellings,Dolle Mina
1,2022-04-09 16:30:00,2022-04-09 17:00:00,Gijs Schellekens,Dolle Mina
2,2022-04-09 17:45:00,2022-04-09 18:15:00,William Burg,Dolle Mina
3,2022-04-09 18:45:00,2022-04-09 19:15:00,Nelis Leeman,Dolle Mina
4,2022-04-09 20:30:00,2022-04-09 21:00:00,Joe,Dolle Mina
5,2022-04-09 22:15:00,2022-04-09 22:45:00,Jeffrey Heesen,Dolle Mina
6,2022-04-09 00:00:00,2022-04-09 00:30:00,John West,Dolle Mina
0,2022-04-09 12:45:00,2022-04-09 13:15:00,Quiz,The Social Club
1,2022-04-09 13:30:00,2022-04-09 14:30:00,Leadbeaters,The Social Club
2,2022-04-09 15:30:00,2022-04-09 16:30:00,Mariachi los Tarascos,The Social Club
3,2022-04-09 17:30:00,2022-04-09 18:30:00,Tribute to The Doors,The Social Club
4,2022-04-09 19:30:00,2022-04-09 20:30:00,Boh Foi Toch,The Social Club
5,2022-04-09 21:30:00,2022-04-09 22:30:00,Tommy Tornado,The Social Club
6,2022-04-09 23:30:00,2022-04-10 01:00:00,Golden Era,The Social Club
0,2022-04-09 13:00:00,2022-04-09 14:00:00,Mikey Diamond,SMÈRRIG
1,2022-04-09 14:00:00,2022-04-09 15:00:00,Derek Shots,SMÈRRIG
2,2022-04-09 15:00:00,2022-04-09 16:00:00,Superlessy,SMÈRRIG
3,2022-04-09 16:00:00,2022-04-09 17:00:00,BobbyFresh,SMÈRRIG
4,2022-04-09 17:00:00,2022-04-09 18:00:00,10WEEKS,SMÈRRIG
5,2022-04-09 18:00:00,2022-04-09 19:00:00,Miguell Kaidel,SMÈRRIG
6,2022-04-09 19:00:00,2022-04-09 20:00:00,SMÈRRIG Diskjochies,SMÈRRIG
7,2022-04-09 20:00:00,2022-04-09 21:00:00,Bartje Bricks,SMÈRRIG
8,2022-04-09 21:00:00,2022-04-09 22:00:00,Butterfly Effect,SMÈRRIG
9,2022-04-09 22:00:00,2022-04-09 23:00:00,Bontgenoot,SMÈRRIG
10,2022-04-09 23:00:00,2022-04-10 00:00:00,DAI$Y,SMÈRRIG
11,2022-04-09 00:00:00,2022-04-09 01:00:00,CHIMP,SMÈRRIG
0,2022-04-09 12:00:00,2022-04-09 13:30:00,Jolene on vinyl,Disco Snolly
1,2022-04-09 13:30:00,2022-04-09 15:00:00,Boogie Fever,Disco Snolly
2,2022-04-09 15:00:00,2022-04-09 16:30:00,Sebastian Floris,Disco Snolly
3,2022-04-09 16:30:00,2022-04-09 18:00:00,Liz,Disco Snolly
4,2022-04-09 18:00:00,2022-04-09 19:00:00,Ronna Summer,Disco Snolly
5,2022-04-09 19:00:00,2022-04-09 19:45:00,Disco Sing a Long,Disco Snolly
6,2022-04-09 19:45:00,2022-04-09 20:00:00,Ronna Summer,Disco Snolly
7,2022-04-09 20:00:00,2022-04-09 20:45:00,Disco Sing a Long,Disco Snolly
8,2022-04-09 20:45:00,2022-04-09 22:15:00,Tom Push,Disco Snolly
9,2022-04-09 22:15:00,2022-04-09 23:30:00,Matóba,Disco Snolly
10,2022-04-09 23:30:00,2022-04-10 01:00:00,Disco Snolly,Disco Snolly
0,2022-04-09 12:00:00,2022-04-09 13:30:00,Myron,Casa Bacardi
1,2022-04-09 13:30:00,2022-04-09 15:00:00,Karyo,Casa Bacardi
2,2022-04-09 15:00:00,2022-04-09 16:30:00,Carliitoo Wakanda,Casa Bacardi
3,2022-04-09 16:30:00,2022-04-09 17:30:00,Myron,Casa Bacardi
4,2022-04-09 17:30:00,2022-04-09 18:30:00,Karyo,Casa Bacardi
5,2022-04-09 18:30:00,2022-04-09 20:00:00,K-man,Casa Bacardi
6,2022-04-09 20:00:00,2022-04-09 21:00:00,Robin Roxette,Casa Bacardi
7,2022-04-09 21:00:00,2022-04-09 22:00:00,Elin Valery,Casa Bacardi
8,2022-04-09 22:00:00,2022-04-09 23:30:00,Fasta,Casa Bacardi
9,2022-04-09 23:30:00,2022-04-10 01:00:00,K-man,Casa Bacardi
0,2022-04-09 13:30:00,2022-04-09 14:15:00,Van Binsbergen Trio,The Little Theatre
1,2022-04-09 14:15:00,2022-04-09 14:45:00,Jasper Nieuwenhuis,The Little Theatre
2,2022-04-09 14:45:00,2022-04-09 15:15:00,Raymon Hofkens,The Little Theatre
3,2022-04-09 15:15:00,2022-04-09 16:00:00,Van Binsbergen Trio,The Little Theatre
4,2022-04-09 16:00:00,2022-04-09 16:30:00,Jasper Nieuwenhuis,The Little Theatre
5,2022-04-09 16:30:00,2022-04-09 17:00:00,Kjen Descheemaecker,The Little Theatre
6,2022-04-09 17:00:00,2022-04-09 17:45:00,Van Binsbergen Trio,The Little Theatre
7,2022-04-09 17:45:00,2022-04-09 18:15:00,Show,The Little Theatre
8,2022-04-09 18:15:00,2022-04-09 18:45:00,Kjen Descheemaecker,The Little Theatre
9,2022-04-09 18:45:00,2022-04-09 19:30:00,Van Binsbergen Trio,The Little Theatre
10,2022-04-09 19:30:00,2022-04-09 20:00:00,Raymon Hofkens,The Little Theatre
11,2022-04-09 20:00:00,2022-04-09 20:30:00,Kjen Descheemaecker,The Little Theatre
12,2022-04-09 20:30:00,2022-04-09 21:15:00,Van Binsbergen Trio,The Little Theatre
13,2022-04-09 21:45:00,2022-04-10 00:00:00,Show,The Little Theatre
14,2022-04-09 00:00:00,2022-04-09 01:00:00,Vincenergy,The Little Theatre
